Group,Sub Group,Item No.,MBS Item No.,Units,Description,MBS Fee,MBS Units,MBS Fee Note,Note,Has other modifier,Has time modifer
Anaesthesia / Knee and Popliteal Area,Knee,CL402,21402,7,knee replacement,157.85,7,0,,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Knee,CL403,21403,10,bilateral knee replacement,225.5,10,0,,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Knee,CL404,21404,5,disarticulation of the knee,112.75,5,0,,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Knee,CL420,21420,3,"all cast applications, removal, or repair involving the knee joint*",67.65,3,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Tibia/Fibula (Proximal),CL390,21390,3,"ANAESTHESIA for all closed procedures on the upper ends of the tibia, fibula, and/or patella*",67.65,3,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Tibia/Fibula (Proximal),CL392,21392,4,"all open procedures on the upper ends of the tibia, fibula and/or patella",90.2,4,0,,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Vascular/Microsurgery,CL430,21430,4,ANAESTHESIA for all procedures on the veins of the knee or popliteal area unless otherwise specified,90.2,4,0,,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Vascular/Microsurgery,CL432,21432,5,repair of arteriovenous fistula of knee or popliteal area,112.75,5,0,,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Vascular/Microsurgery,CL440,21440,8,all procedures on the arteries of the knee or popliteal area unless otherwise specified,180.4,8,0,,TRUE,TRUE
Anaesthesia / Knee and Popliteal Area,Vascular/Microsurgery,CL445,21445,12,microvascular free tissue flap surgery involving the knee and/or popliteal area,225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Skin/Soft Tissue,CG801,,6,"radical abdominoplasty involving abdominal lipectomy, repair of musculoaponeurotic layer and transposition of umbilicus",,,,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Skin/Soft Tissue,CG800,20800,3,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the lower abdominal wall unless otherwise specified,67.65,3,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Skin/Soft Tissue,CG802,20802,5,lipectomy in the lower abdomen,112.75,5,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Skin/Soft Tissue,CG803,20803,4,"all procedures on the nerves, muscles, tendons or fascia of the lower abdominal wall (with the exception of lower abdominal lipectomy)",90.2,4,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Skin/Soft Tissue,,20820,,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin, its derivatives or subcutaneous tissue of the lower posterior abdominal wall (5 basic units) Not necessary in ASA RVG due to modifier for prone position.",112.75,5,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Laparoscopy,CG806,20806,7,laparoscopic procedures in the lower abdomen,157.85,7,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Endoscopy,CG810,20810,4,ANAESTHESIA for all lower intestinal endoscopic procedures (modifier for prone position is not applicable),90.2,4,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Hernias,CG830,20830,4,ANAESTHESIA for all hernia repairs in the lower abdomen unless otherwise specified,90.2,4,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Hernias,CG832,20832,6,repair of incisional hernia and/or wound dehiscence,135.3,6,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Intraperitoneal,CG840,20840,6,"ANAESTHESIA for all open procedures within the lower abdominal peritoneal cavity, (including appendicectomy) unless otherwise specified",135.3,6,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Intraperitoneal,CG841,20841,8,"bowel resection, (including laparoscopic bowel resection), unless otherwise specified",180.4,8,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Intraperitoneal,CG844,20844,10,"abdominoperineal resection, including pull through procedures, ultra low anterior resection and formation of bowel reservoir",225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG842,20842,4,ANAESTHESIA for amniocentesis,90.2,4,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG846,20846,10,radical hysterectomy,225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG847,20847,10,radical ovarian surgery,225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG848,20848,10,pelvic exenteration,225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG850,20850,12,Caesarean section*,270.6,12,0,"*ASA RVG modifier P7 is already included within items CG850, CG855, CH946, CH960 and should not be concurrently claimed CV850 increased from 10 to 12 units 1 April 2024.",TRUE,TRUE
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG855,20855,15,Caesarean hysterectomy or hysterectomy within 72 hours of birth*,338.25,15,0,"* The Departments of Health and Human Services have changed the descriptors for a number of MBS items, to read ’birth‘ rather than ’delivery‘

*ASA RVG modifier P7 is already included within items CG850, CG855, CH946, CH954 and should not be concurrently claimed CV855 description amended 1 April 2024.",TRUE,TRUE
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG845,20845,10,ANAESTHESIA for radical prostatectomy,225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG860,20860,6,"all extraperitoneal procedures in the lower abdomen, (including urinary tract) unless otherwise specified",135.3,6,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG862,20862,7,"renal procedures, including upper 1/3 or ureter",157.85,7,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG863,20863,10,nephrectomy,225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG864,20864,10,total cystectomy,225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG866,20866,10,adrenalectomy,225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG867,20867,10,"neuro-endocrine tumour removal, e.g. carcinoid",225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG868,20868,10,renal transplant (donor or recipient),225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG815,20815,6,extracorporeal shock wave lithotripsy,135.3,6,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Vascular/Microsurgery,CG804,20804,12,ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior lower abdomen,225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Vascular/Microsurgery,CG880,20880,15,all procedures on major lower abdominal blood vessels unless otherwise specified,338.25,15,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Vascular/Microsurgery,CG882,20882,10,inferior vena cava ligation,225.5,10,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Vascular/Microsurgery,CG884,20884,5,percutaneous umbrella insertion,112.75,5,0,,TRUE,TRUE
Anaesthesia / Lower Abdomen,Miscellaneous,CG886,20886,6,ANAESTHESIA for percutaneous procedures on an intra-abdominal organ in the lower abdomen,135.3,6,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Skin/Soft Tissue,CM460,21460,3,"ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the lower leg, ankle or foot",67.65,3,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Skin/Soft Tissue,CM461,21461,4,"all procedures on the nerves, muscles, tendons, or fascia of the lower leg, ankle or foot unless otherwise specified",90.2,4,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Skin/Soft Tissue,CM474,21474,5,gastrocnemius recession,112.75,5,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Skin/Soft Tissue,,21472,5,INITIATION OF MANAGEMENT OF ANAESTHESIA for repair of Achilles tendon (5 basic units) Not necessary in ASA RVG due to modifier for prone position.,112.75,5,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM462,21462,3,"ANAESTHESIA for all closed procedures on the lower leg, ankle or foot",67.65,3,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM464,21464,4,arthroscopic procedures of the ankle joint,90.2,4,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM480,21480,4,"all open procedures on the bones of the lower leg, ankle or foot, (including amputation), unless otherwise specified",90.2,4,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM482,21482,5,"radical resection of bone involving lower leg, ankle or foot",112.75,5,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM484,21484,5,osteotomy or osteoplasty of the tibia and fibula,112.75,5,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM486,21486,7,total ankle replacement,157.85,7,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM490,21490,3,"lower leg cast application, removal or repair*",67.65,3,0,"* The MBS descriptor includes the requirement that this procedure be performed in the operating theatre of a hospital or day hospital facility. This is also the case with a number of other ‘closed’ procedures. The ASA recognises that anaesthesia for such procedures can be performed outside of hospital facilities, provided the relevant ANZCA guidelines are met, but members should note that no Medicare or private insurance benefit will be payable in these circumstances",TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM500,21500,8,"ANAESTHESIA for all procedures on the arteries of the lower leg, (including bypass graft) unless otherwise specified",180.4,8,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM502,21502,6,embolectomy of the lower leg,135.3,6,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM520,21520,4,all procedures on the veins of the lower leg unless otherwise specified,90.2,4,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM522,21522,5,venous thrombectomy of the lower leg,112.75,5,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM530,21530,15,"microsurgical reimplantation of the lower leg, ankle or foot",338.25,15,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM532,21532,8,microsurgical reimplantation of a toe,180.4,8,0,,TRUE,TRUE
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM535,21535,12,microvascular free tissue flap surgery involving the lower leg,225.5,10,0,,TRUE,TRUE
Anaesthesia / Neck,Neck,CB300,20300,5,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the neck unless otherwise specified,112.75,5,0,,TRUE,TRUE
Anaesthesia / Neck,Neck,CB305,20305,15,"incision and drainage of large haematoma, large abscess, cellulitis, or similar lesion or epiglottitis causing life threatening airway obstruction",338.25,15,0,,TRUE,TRUE
Anaesthesia / Neck,Neck,CB320,20320,6,"all procedures on oesophagus, thyroid, larynx, trachea, lymphatic system, muscles, nerves or other deep tissues of the neck unless otherwise specified",135.3,6,0,,TRUE,TRUE
Anaesthesia / Neck,Neck,CB321,20321,10,"laryngectomy, hemilaryngectomy, laryngopharyngectomy or pharyngectomy",225.5,10,0,,TRUE,TRUE
Anaesthesia / Neck,Neck,CB330,20330,8,laser surgery to the airway (MBS Item 20330 specifically excludes laser surgery to the nose and mouth),180.4,8,0,,TRUE,TRUE
Anaesthesia / Neck,Neck,CB350,20350,10,all procedures on major vessels of neck unless otherwise specified,225.5,10,0,,TRUE,TRUE
Anaesthesia / Neck,Neck,CB352,20352,5,simple ligation,112.75,5,0,,TRUE,TRUE
Anaesthesia / Neck,Neck,CB355,20355,12,microvascular free tissue flap surgery involving the neck,270.6,12,0,,TRUE,TRUE
Anaesthesia / Neck,Neck,CB310,,15,Emergency airway management in a patient with a known difficult and or threatened airway,,,,CB310 added 1 April 2024,,
Anaesthesia / Pelvis (except Hip),Skin/Soft Tissue,CJ100,21100,3,ANAESTHESIA for all procedures on the skin and subcutaneous tissue of the pelvic region except external genitalia,67.65,3,0,"*ASA RVG modifier P7 is already included within items CG850, CG855, CH946, CH954,CH960 and should not be concurrently claimed 1 April 2024.",TRUE,
Anaesthesia / Pelvis (except Hip),Skin/Soft Tissue,,21110,5,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin, its derivatives or subcutaneous tissue of the pelvic region (posterior to iliac crest), except perineum (5 basic units) Not necessary in ASA RVG due to modifier for prone position.",112.75,5,0,,TRUE,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ112,21112,4,ANAESTHESIA for percutaneous bone marrow biopsy of the anterior iliac crest,90.2,4,0,,TRUE,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ114,21114,5,percutaneous bone marrow biopsy of the posterior iliac crest,112.75,5,0,,TRUE,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ116,21116,6,percutaneous bone marrow harvesting from the pelvis,135.3,6,0,,TRUE,
Anaesthesia / Pelvis (except Hip),Skeletal,CJ120,21120,6,procedures on bony pelvis,135.3,6,0,,TRUE,
