Category,Subcategory,Item Number,Item Description,Schedule Fee,,,,,,,,
"Anaesthesia / Forearm, Wrist and Hand",Forearm/Wrist/Hand,CR820,"ANAESTHESIA for all closed procedures on the radius, ulna, wrist, or hand bones*",67.65,,,"Anaesthesia / Forearm, Wrist and HandForearm/Wrist/Hand",,,,,Intra-cranial
"Anaesthesia / Forearm, Wrist and Hand",Forearm/Wrist/Hand,CR830,"all open procedures on the radius, ulna, wrist, or hand bones unless otherwise specified",90.2,,,"Anaesthesia / Forearm, Wrist and HandForearm/Wrist/Hand",,,,,Miscellaneous
"Anaesthesia / Forearm, Wrist and Hand",Forearm/Wrist/Hand,CR832,total wrist replacement,157.85,,,"Anaesthesia / Forearm, Wrist and HandForearm/Wrist/Hand",,,,,Heart
"Anaesthesia / Forearm, Wrist and Hand",Forearm/Wrist/Hand,CR834,arthroscopic procedures of the wrist joint,90.2,,,"Anaesthesia / Forearm, Wrist and HandForearm/Wrist/Hand",,,,,Oesophagus
"Anaesthesia / Forearm, Wrist and Hand",Forearm/Wrist/Hand,CR860,"forearm, wrist, or hand cast application, removal, or repair*",67.65,,,"Anaesthesia / Forearm, Wrist and HandForearm/Wrist/Hand",,,,,Closed Chest
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR840,"ANAESTHESIA for all procedures on the arteries of the forearm, wrist, or hand unless otherwise specified",180.4,,,"Anaesthesia / Forearm, Wrist and HandVascular/Microsurgery",,,,,Thoractomy
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR842,"embolectomy of artery of forearm, wrist or hand",135.3,,,"Anaesthesia / Forearm, Wrist and HandVascular/Microsurgery",,,,,Femur (Lower 1/3)
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR850,"all procedures on the veins of the forearm, wrist or hand unless otherwise specified",90.2,,,"Anaesthesia / Forearm, Wrist and HandVascular/Microsurgery",,,,,Knee
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR865,"microvascular free tissue flap surgery involving the forearm, wrist or hand",225.5,,,"Anaesthesia / Forearm, Wrist and HandVascular/Microsurgery",,,,,Tibia/Fibula (Proximal)
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR870,"microsurgical reimplantation of the forearm, wrist or hand",338.25,,,"Anaesthesia / Forearm, Wrist and HandVascular/Microsurgery",,,,,Laparoscopy
"Anaesthesia / Forearm, Wrist and Hand",Vascular/Microsurgery,CR872,microsurgical reimplantation of a finger,180.4,,,"Anaesthesia / Forearm, Wrist and HandVascular/Microsurgery",,,,,Endoscopy
Anaesthesia / Head,Eyes,CA149,surgery for glaucoma,#N/A,,,Anaesthesia / HeadEyes,,,,,Hernias
Anaesthesia / Head,Eyes,CA150,"repair of open eye injury, excluding magnetic removal of foreign body but including non-magnetic removal of DEEP foreign body",#N/A,,,Anaesthesia / HeadEyes,,,,,Intraperitoneal
Anaesthesia / Head,Eyes,CA152,"enucleation or evisceration of the eye, or orbital exenteration",#N/A,,,Anaesthesia / HeadEyes,,,,,Obstetrics/Gynaecology
Anaesthesia / Head,General,CA100,"ANAESTHESIA for all procedures on the skin, subcutaneous tissue, muscles, salivary glands or superficial vessels of the head including biopsy unless otherwise specified",112.75,,,Anaesthesia / HeadGeneral,,,,,Extraperitoneal/Urology
Anaesthesia / Head,General,CA102,plastic repair of cleft lip,135.3,,,Anaesthesia / HeadGeneral,,,,,Foot/Leg/Ankle
Anaesthesia / Head,General,CA104,electroconvulsive therapy,90.2,,,Anaesthesia / HeadGeneral,,,,,Neck
Anaesthesia / Head,Ears,CA120,"ANAESTHESIA for all procedures on external, middle or inner ear, including biopsy unless otherwise specified",112.75,,,Anaesthesia / HeadEars,,,,,Skeletal
Anaesthesia / Head,Ears,CA124,otoscopy,90.2,,,Anaesthesia / HeadEars,,,,,Male Genitalia
Anaesthesia / Head,Eyes,CA140,ANAESTHESIA for all procedures on eye unless otherwise specified,112.75,,,Anaesthesia / HeadEyes,,,,,Transurethral
Anaesthesia / Head,Eyes,CA142,lens surgery,112.75,,,Anaesthesia / HeadEyes,,,,,Shoulder
Anaesthesia / Head,Eyes,CA143,retinal surgery,135.3,,,Anaesthesia / HeadEyes,,,,,Cervical
Anaesthesia / Head,Eyes,CA144,corneal transplant,157.85,,,Anaesthesia / HeadEyes,,,,,Thoracic
Anaesthesia / Head,Eyes,CA145,vitrectomy,157.85,,,Anaesthesia / HeadEyes,,,,,Lumbar
Anaesthesia / Head,Eyes,CA146,biopsy of conjunctiva,112.75,,,Anaesthesia / HeadEyes,,,,,Breast
Anaesthesia / Head,Eyes,CA147,squint repair or other operation intrinsically involving extraocular muscles. MBS Item 20147 reads only as 'squint repair'.,135.3,,,Anaesthesia / HeadEyes,,,,,Upper Arm/Elbow
Anaesthesia / Head,Eyes,CA148,ophthalmoscopy,90.2,,,Anaesthesia / HeadEyes,,,,,Hip
Anaesthesia / Head,Eyes,CA156,radical surgery involving BOTH the eye and/or its muscles AND orbital bone,225.5,,,Anaesthesia / HeadEyes,,,,,Femur (Upper 2/3)
Anaesthesia / Head,Nose/Sinuses,CA160,ANAESTHESIA for all intranasal procedures on nose or accessory sinuses unless otherwise specified,135.3,,,Anaesthesia / HeadNose/Sinuses,,,,,Spine
Anaesthesia / Head,Nose/Sinuses,CA162,intranasal surgery for malignancy or for intranasal ablation,157.85,,,Anaesthesia / HeadNose/Sinuses,,,,,Vascular/Cardiology
Anaesthesia / Head,Nose/Sinuses,CA164,"biopsy, soft tissue of nose or accessory sinuses",90.2,,,Anaesthesia / HeadNose/Sinuses,,,,,Radiology
Anaesthesia / Head,Intra-oral,CA170,ANAESTHESIA for all intra-oral procedures (including biopsy) unless otherwise specified,135.3,,,Anaesthesia / HeadIntra-oral,,,,,Neurology
Anaesthesia / Head,Intra-oral,CA172,repair of cleft palate,157.85,,,Anaesthesia / HeadIntra-oral,,,,,Echocardiography
Anaesthesia / Head,Intra-oral,CA174,excision of retropharyngeal tumour,202.95,,,Anaesthesia / HeadIntra-oral,,,,,Spinals/Epidurals/Caudals
Anaesthesia / Head,Intra-oral,CA176,radical intraoral surgery,225.5,,,Anaesthesia / HeadIntra-oral,,,,,Pain Management
Anaesthesia / Head,Dental,CA170,INITIATION OF MANAGEMENT BY A MEDICAL PRACTITIONER OF ANAESTHESIA for extraction of tooth or teeth with or without incision of soft tissue or removal of bone (6 basic units) Not necessary in ASA RVG - covered by Item CA170,135.3,,,Anaesthesia / HeadDental,,,,,Neurolysis
Anaesthesia / Head,Dental,CA170,INITIATION OF MANAGEMENT BY A MEDICAL PRACTITIONER OF ANAESTHESIA for restorative dental work (6 basic units) Not necessary in ASA RVG - covered by Item CA170,135.3,,,Anaesthesia / HeadDental,,,,,Hyperbaric Medicine
Anaesthesia / Head,Facial Bones,CA190,ANAESTHESIA for all procedures on facial bones unless otherwise specified,112.75,,,Anaesthesia / HeadFacial Bones,,,,,Nerve Blocks
Anaesthesia / Head,Facial Bones,CA192,extensive surgery on facial bones including prognathism and extensive facial bone reconstruction,225.5,,,Anaesthesia / HeadFacial Bones,,,,,Perfusion/Bypass
Anaesthesia / Head,Intra-cranial,CA210,ANAESTHESIA for all intracranial procedures unless otherwise specified,338.25,,,Anaesthesia / HeadIntra-cranial,,,,,Invasive Monitoring
Anaesthesia / Head,Intra-cranial,CA212,subdural taps,112.75,,,Anaesthesia / HeadIntra-cranial,,,,,Vascular Cannulation
Anaesthesia / Head,Intra-cranial,CA214,burr holes,202.95,,,Anaesthesia / HeadIntra-cranial,,,,,Airway Management
Anaesthesia / Head,Intra-cranial,CA216,intracranial vascular procedures including those for aneurysms and arterio-venous abnormalities,451,,,Anaesthesia / HeadIntra-cranial,,,,,Transfusion
Anaesthesia / Head,Intra-cranial,CA220,spinal fluid shunt procedures,225.5,,,Anaesthesia / HeadIntra-cranial,,,,,Ultrasound
Anaesthesia / Head,Intra-cranial,CA222,ablation of an intracranial nerve,135.3,,,Anaesthesia / HeadIntra-cranial,,,,,Time (ASA/AMA)
Anaesthesia / Head,Miscellaneous,CA225,ANAESTHESIA for all cranial bone procedures,270.6,,,Anaesthesia / HeadMiscellaneous,,,,,
Anaesthesia / Head,Miscellaneous,CA230,microvasular free tissue flap surgery involving the head or face,270.6,,,Anaesthesia / HeadMiscellaneous,,,,,
Anaesthesia / Intrathoracic,Heart,CD580,heart transplant,#N/A,,,Anaesthesia / IntrathoracicHeart,,,,,
Anaesthesia / Intrathoracic,Heart,CD582,heart and lung transplant,#N/A,,,Anaesthesia / IntrathoracicHeart,,,,,
Anaesthesia / Intrathoracic,Heart,CD584,cadaver harvesting of heart and/or lungs,#N/A,,,Anaesthesia / IntrathoracicHeart,,,,,
Anaesthesia / Intrathoracic,Oesophagus,CD500,ANAESTHESIA for open procedures on the oesophagus,338.25,,,Anaesthesia / IntrathoracicOesophagus,,,,,
Anaesthesia / Intrathoracic,Closed Chest,CD520,ANAESTHESIA for all closed chest procedures (including rigid oesophagoscopy or bronchoscopy) unless otherwise specified,135.3,,,Anaesthesia / IntrathoracicClosed Chest,,,,,
Anaesthesia / Intrathoracic,Closed Chest,CD522,needle biopsy of pleura,90.2,,,Anaesthesia / IntrathoracicClosed Chest,,,,,
Anaesthesia / Intrathoracic,Closed Chest,CD524,pneumocentesis,90.2,,,Anaesthesia / IntrathoracicClosed Chest,,,,,
Anaesthesia / Intrathoracic,Closed Chest,CD526,thoracoscopy,225.5,,,Anaesthesia / IntrathoracicClosed Chest,,,,,
Anaesthesia / Intrathoracic,Closed Chest,CD528,mediastinoscopy,180.4,,,Anaesthesia / IntrathoracicClosed Chest,,,,,
Anaesthesia / Intrathoracic,Thoractomy,CD540,"ANAESTHESIA for all thoracotomy procedures involving lungs, pleura, diaphragm, or mediastinum unless otherwise specified",293.15,,,Anaesthesia / IntrathoracicThoractomy,,,,,
Anaesthesia / Intrathoracic,Thoractomy,CD542,pulmonary decortication,338.25,,,Anaesthesia / IntrathoracicThoractomy,,,,,
Anaesthesia / Intrathoracic,Thoractomy,CD546,pulmonary resection with thoracoplasty,338.25,,,Anaesthesia / IntrathoracicThoractomy,,,,,
Anaesthesia / Intrathoracic,Thoractomy,CD548,intrathoracic repair of trauma to trachea and bronchi,338.25,,,Anaesthesia / IntrathoracicThoractomy,,,,,
Anaesthesia / Intrathoracic,Heart,CD560,"ANAESTHESIA for all open procedures on the heart, pericardium, or great vessels of the chest*",451,,,Anaesthesia / IntrathoracicHeart,,,,,
Anaesthesia / Intrathoracic,Heart,CD565,percutaneous surgical procedures performed on the thoracic aorta,#N/A,,,Anaesthesia / IntrathoracicHeart,,,,,
Anaesthesia / Intrathoracic,Heart,CD570,percutaneous replacement of a heart valve,#N/A,,,Anaesthesia / IntrathoracicHeart,,,,,
Anaesthesia / Intrathoracic,Closed Chest,CD525,insertion of intercostal catheter and/or drain,#N/A,,,Anaesthesia / IntrathoracicClosed Chest,,,,,
Anaesthesia / Intrathoracic,Closed Chest,CD575,percutaneous procedures on the pericardium,#N/A,,,Anaesthesia / IntrathoracicClosed Chest,,,,,
Anaesthesia / Knee and Popliteal Area,Skin/Soft Tissue,CL300,ANAESTHESIA for all procedures on the skin and subcutaneous tissue of the knee and/or popliteal area,67.65,,,Anaesthesia / Knee and Popliteal AreaSkin/Soft Tissue,,,,,
Anaesthesia / Knee and Popliteal Area,Skin/Soft Tissue,CL321,"all procedures on the nerves, muscles, tendons, fascia or bursae of the knee and/or popliteal area",90.2,,,Anaesthesia / Knee and Popliteal AreaSkin/Soft Tissue,,,,,
Anaesthesia / Knee and Popliteal Area,Femur (Lower 1/3),CL340,ANAESTHESIA for all closed procedures on the lower 1/3 of the femur*,90.2,,,Anaesthesia / Knee and Popliteal AreaFemur (Lower 1/3),,,,,
Anaesthesia / Knee and Popliteal Area,Femur (Lower 1/3),CL360,all open procedures on the lower 1/3 of the femur,112.75,,,Anaesthesia / Knee and Popliteal AreaFemur (Lower 1/3),,,,,
Anaesthesia / Knee and Popliteal Area,Knee,CL380,ANAESTHESIA for all closed procedures on the knee joint*,67.65,,,Anaesthesia / Knee and Popliteal AreaKnee,,,,,
Anaesthesia / Knee and Popliteal Area,Knee,CL382,arthroscopic procedures of the knee joint,90.2,,,Anaesthesia / Knee and Popliteal AreaKnee,,,,,
Anaesthesia / Knee and Popliteal Area,Knee,CL400,open procedures on the knee joint unless otherwise specified,90.2,,,Anaesthesia / Knee and Popliteal AreaKnee,,,,,
Anaesthesia / Knee and Popliteal Area,Knee,CL402,knee replacement,157.85,,,Anaesthesia / Knee and Popliteal AreaKnee,,,,,
Anaesthesia / Knee and Popliteal Area,Knee,CL403,bilateral knee replacement,225.5,,,Anaesthesia / Knee and Popliteal AreaKnee,,,,,
Anaesthesia / Knee and Popliteal Area,Knee,CL404,disarticulation of the knee,112.75,,,Anaesthesia / Knee and Popliteal AreaKnee,,,,,
Anaesthesia / Knee and Popliteal Area,Knee,CL420,"all cast applications, removal, or repair involving the knee joint*",67.65,,,Anaesthesia / Knee and Popliteal AreaKnee,,,,,
Anaesthesia / Knee and Popliteal Area,Tibia/Fibula (Proximal),CL390,"ANAESTHESIA for all closed procedures on the upper ends of the tibia, fibula, and/or patella*",67.65,,,Anaesthesia / Knee and Popliteal AreaTibia/Fibula (Proximal),,,,,
Anaesthesia / Knee and Popliteal Area,Tibia/Fibula (Proximal),CL392,"all open procedures on the upper ends of the tibia, fibula and/or patella",90.2,,,Anaesthesia / Knee and Popliteal AreaTibia/Fibula (Proximal),,,,,
Anaesthesia / Knee and Popliteal Area,Vascular/Microsurgery,CL430,ANAESTHESIA for all procedures on the veins of the knee or popliteal area unless otherwise specified,90.2,,,Anaesthesia / Knee and Popliteal AreaVascular/Microsurgery,,,,,
Anaesthesia / Knee and Popliteal Area,Vascular/Microsurgery,CL432,repair of arteriovenous fistula of knee or popliteal area,112.75,,,Anaesthesia / Knee and Popliteal AreaVascular/Microsurgery,,,,,
Anaesthesia / Knee and Popliteal Area,Vascular/Microsurgery,CL440,all procedures on the arteries of the knee or popliteal area unless otherwise specified,180.4,,,Anaesthesia / Knee and Popliteal AreaVascular/Microsurgery,,,,,
Anaesthesia / Knee and Popliteal Area,Vascular/Microsurgery,CL445,microvascular free tissue flap surgery involving the knee and/or popliteal area,225.5,,,Anaesthesia / Knee and Popliteal AreaVascular/Microsurgery,,,,,
Anaesthesia / Lower Abdomen,Skin/Soft Tissue,CG801,"radical abdominoplasty involving abdominal lipectomy, repair of musculoaponeurotic layer and transposition of umbilicus",#N/A,,,Anaesthesia / Lower AbdomenSkin/Soft Tissue,,,,,
Anaesthesia / Lower Abdomen,Skin/Soft Tissue,CG800,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the lower abdominal wall unless otherwise specified,67.65,,,Anaesthesia / Lower AbdomenSkin/Soft Tissue,,,,,
Anaesthesia / Lower Abdomen,Skin/Soft Tissue,CG802,lipectomy in the lower abdomen,112.75,,,Anaesthesia / Lower AbdomenSkin/Soft Tissue,,,,,
Anaesthesia / Lower Abdomen,Skin/Soft Tissue,CG803,"all procedures on the nerves, muscles, tendons or fascia of the lower abdominal wall (with the exception of lower abdominal lipectomy)",90.2,,,Anaesthesia / Lower AbdomenSkin/Soft Tissue,,,,,
Anaesthesia / Lower Abdomen,Skin/Soft Tissue,,"INITIATION OF MANAGEMENT OF ANAESTHESIA for procedures on the skin, its derivatives or subcutaneous tissue of the lower posterior abdominal wall (5 basic units) Not necessary in ASA RVG due to modifier for prone position.",112.75,,,Anaesthesia / Lower AbdomenSkin/Soft Tissue,,,,,
Anaesthesia / Lower Abdomen,Laparoscopy,CG806,laparoscopic procedures in the lower abdomen,157.85,,,Anaesthesia / Lower AbdomenLaparoscopy,,,,,
Anaesthesia / Lower Abdomen,Endoscopy,CG810,ANAESTHESIA for all lower intestinal endoscopic procedures (modifier for prone position is not applicable),90.2,,,Anaesthesia / Lower AbdomenEndoscopy,,,,,
Anaesthesia / Lower Abdomen,Hernias,CG830,ANAESTHESIA for all hernia repairs in the lower abdomen unless otherwise specified,90.2,,,Anaesthesia / Lower AbdomenHernias,,,,,
Anaesthesia / Lower Abdomen,Hernias,CG832,repair of incisional hernia and/or wound dehiscence,135.3,,,Anaesthesia / Lower AbdomenHernias,,,,,
Anaesthesia / Lower Abdomen,Intraperitoneal,CG840,"ANAESTHESIA for all open procedures within the lower abdominal peritoneal cavity, (including appendicectomy) unless otherwise specified",135.3,,,Anaesthesia / Lower AbdomenIntraperitoneal,,,,,
Anaesthesia / Lower Abdomen,Intraperitoneal,CG841,"bowel resection, (including laparoscopic bowel resection), unless otherwise specified",180.4,,,Anaesthesia / Lower AbdomenIntraperitoneal,,,,,
Anaesthesia / Lower Abdomen,Intraperitoneal,CG844,"abdominoperineal resection, including pull through procedures, ultra low anterior resection and formation of bowel reservoir",225.5,,,Anaesthesia / Lower AbdomenIntraperitoneal,,,,,
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG842,ANAESTHESIA for amniocentesis,90.2,,,Anaesthesia / Lower AbdomenObstetrics/Gynaecology,,,,,
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG846,radical hysterectomy,225.5,,,Anaesthesia / Lower AbdomenObstetrics/Gynaecology,,,,,
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG847,radical ovarian surgery,225.5,,,Anaesthesia / Lower AbdomenObstetrics/Gynaecology,,,,,
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG848,pelvic exenteration,225.5,,,Anaesthesia / Lower AbdomenObstetrics/Gynaecology,,,,,
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG850,Caesarean section*,270.6,,,Anaesthesia / Lower AbdomenObstetrics/Gynaecology,,,,,
Anaesthesia / Lower Abdomen,Obstetrics/Gynaecology,CG855,Caesarean hysterectomy or hysterectomy within 72 hours of birth*,338.25,,,Anaesthesia / Lower AbdomenObstetrics/Gynaecology,,,,,
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG845,ANAESTHESIA for radical prostatectomy,225.5,,,Anaesthesia / Lower AbdomenExtraperitoneal/Urology,,,,,
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG860,"all extraperitoneal procedures in the lower abdomen, (including urinary tract) unless otherwise specified",135.3,,,Anaesthesia / Lower AbdomenExtraperitoneal/Urology,,,,,
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG862,"renal procedures, including upper 1/3 or ureter",157.85,,,Anaesthesia / Lower AbdomenExtraperitoneal/Urology,,,,,
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG863,nephrectomy,225.5,,,Anaesthesia / Lower AbdomenExtraperitoneal/Urology,,,,,
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG864,total cystectomy,225.5,,,Anaesthesia / Lower AbdomenExtraperitoneal/Urology,,,,,
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG866,adrenalectomy,225.5,,,Anaesthesia / Lower AbdomenExtraperitoneal/Urology,,,,,
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG867,"neuro-endocrine tumour removal, e.g. carcinoid",225.5,,,Anaesthesia / Lower AbdomenExtraperitoneal/Urology,,,,,
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG868,renal transplant (donor or recipient),225.5,,,Anaesthesia / Lower AbdomenExtraperitoneal/Urology,,,,,
Anaesthesia / Lower Abdomen,Extraperitoneal/Urology,CG815,extracorporeal shock wave lithotripsy,135.3,,,Anaesthesia / Lower AbdomenExtraperitoneal/Urology,,,,,
Anaesthesia / Lower Abdomen,Vascular/Microsurgery,CG804,ANAESTHESIA for microvascular free tissue flap surgery involving the anterior or posterior lower abdomen,225.5,,,Anaesthesia / Lower AbdomenVascular/Microsurgery,,,,,
Anaesthesia / Lower Abdomen,Vascular/Microsurgery,CG880,all procedures on major lower abdominal blood vessels unless otherwise specified,338.25,,,Anaesthesia / Lower AbdomenVascular/Microsurgery,,,,,
Anaesthesia / Lower Abdomen,Vascular/Microsurgery,CG882,inferior vena cava ligation,225.5,,,Anaesthesia / Lower AbdomenVascular/Microsurgery,,,,,
Anaesthesia / Lower Abdomen,Vascular/Microsurgery,CG884,percutaneous umbrella insertion,112.75,,,Anaesthesia / Lower AbdomenVascular/Microsurgery,,,,,
Anaesthesia / Lower Abdomen,Miscellaneous,CG886,ANAESTHESIA for percutaneous procedures on an intra-abdominal organ in the lower abdomen,135.3,,,Anaesthesia / Lower AbdomenMiscellaneous,,,,,
Anaesthesia / Lower Leg (below Knee),Skin/Soft Tissue,CM460,"ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the lower leg, ankle or foot",67.65,,,Anaesthesia / Lower Leg (below Knee)Skin/Soft Tissue,,,,,
Anaesthesia / Lower Leg (below Knee),Skin/Soft Tissue,CM461,"all procedures on the nerves, muscles, tendons, or fascia of the lower leg, ankle or foot unless otherwise specified",90.2,,,Anaesthesia / Lower Leg (below Knee)Skin/Soft Tissue,,,,,
Anaesthesia / Lower Leg (below Knee),Skin/Soft Tissue,CM474,gastrocnemius recession,112.75,,,Anaesthesia / Lower Leg (below Knee)Skin/Soft Tissue,,,,,
Anaesthesia / Lower Leg (below Knee),Skin/Soft Tissue,,INITIATION OF MANAGEMENT OF ANAESTHESIA for repair of Achilles tendon (5 basic units) Not necessary in ASA RVG due to modifier for prone position.,112.75,,,Anaesthesia / Lower Leg (below Knee)Skin/Soft Tissue,,,,,
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM462,"ANAESTHESIA for all closed procedures on the lower leg, ankle or foot",67.65,,,Anaesthesia / Lower Leg (below Knee)Foot/Leg/Ankle,,,,,
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM464,arthroscopic procedures of the ankle joint,90.2,,,Anaesthesia / Lower Leg (below Knee)Foot/Leg/Ankle,,,,,
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM480,"all open procedures on the bones of the lower leg, ankle or foot, (including amputation), unless otherwise specified",90.2,,,Anaesthesia / Lower Leg (below Knee)Foot/Leg/Ankle,,,,,
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM482,"radical resection of bone involving lower leg, ankle or foot",112.75,,,Anaesthesia / Lower Leg (below Knee)Foot/Leg/Ankle,,,,,
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM484,osteotomy or osteoplasty of the tibia and fibula,112.75,,,Anaesthesia / Lower Leg (below Knee)Foot/Leg/Ankle,,,,,
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM486,total ankle replacement,157.85,,,Anaesthesia / Lower Leg (below Knee)Foot/Leg/Ankle,,,,,
Anaesthesia / Lower Leg (below Knee),Foot/Leg/Ankle,CM490,"lower leg cast application, removal or repair*",67.65,,,Anaesthesia / Lower Leg (below Knee)Foot/Leg/Ankle,,,,,
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM500,"ANAESTHESIA for all procedures on the arteries of the lower leg, (including bypass graft) unless otherwise specified",180.4,,,Anaesthesia / Lower Leg (below Knee)Vascular/Microsurgery,,,,,
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM502,embolectomy of the lower leg,135.3,,,Anaesthesia / Lower Leg (below Knee)Vascular/Microsurgery,,,,,
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM520,all procedures on the veins of the lower leg unless otherwise specified,90.2,,,Anaesthesia / Lower Leg (below Knee)Vascular/Microsurgery,,,,,
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM522,venous thrombectomy of the lower leg,112.75,,,Anaesthesia / Lower Leg (below Knee)Vascular/Microsurgery,,,,,
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM530,"microsurgical reimplantation of the lower leg, ankle or foot",338.25,,,Anaesthesia / Lower Leg (below Knee)Vascular/Microsurgery,,,,,
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM532,microsurgical reimplantation of a toe,180.4,,,Anaesthesia / Lower Leg (below Knee)Vascular/Microsurgery,,,,,
Anaesthesia / Lower Leg (below Knee),Vascular/Microsurgery,CM535,microvascular free tissue flap surgery involving the lower leg,225.5,,,Anaesthesia / Lower Leg (below Knee)Vascular/Microsurgery,,,,,
Anaesthesia / Neck,Neck,CB300,ANAESTHESIA for all procedures on the skin or subcutaneous tissue of the neck unless otherwise specified,112.75,,,Anaesthesia / NeckNeck,,,,,
Anaesthesia / Neck,Neck,CB305,"incision and drainage of large haematoma, large abscess, cellulitis, or similar lesion or epiglottitis causing life threatening airway obstruction",338.25,,,Anaesthesia / NeckNeck,,,,,
Anaesthesia / Neck,Neck,CB320,"all procedures on oesophagus, thyroid, larynx, trachea, lymphatic system, muscles, nerves or other deep tissues of the neck unless otherwise specified",135.3,,,Anaesthesia / NeckNeck,,,,,
Anaesthesia / Neck,Neck,CB321,"laryngectomy, hemilaryngectomy, laryngopharyngectomy or pharyngectomy",225.5,,,Anaesthesia / NeckNeck,,,,,
Anaesthesia / Neck,Neck,CB330,laser surgery to the airway (MBS Item 20330 specifically excludes laser surgery to the nose and mouth),180.4,,,Anaesthesia / NeckNeck,,,,,
Anaesthesia / Neck,Neck,CB350,all procedures on major vessels of neck unless otherwise specified,225.5,,,Anaesthesia / NeckNeck,,,,,
Anaesthesia / Neck,Neck,CB352,simple ligation,112.75,,,Anaesthesia / NeckNeck,,,,,
Anaesthesia / Neck,Neck,CB355,microvascular free tissue flap surgery involving the neck,270.6,,,Anaesthesia / NeckNeck,,,,,
Anaesthesia / Neck,Neck,CB310,Emergency airway management in a patient with a known difficult and or threatened airway,#N/A,,,Anaesthesia / NeckNeck,,,,,
